ItemCode,ItemName
A014200003,HB-230DN รถเข็นพื้นเหล็ก 3 ชั้น มือจับ 2 ข้าง 370 กก.
A014200006,HB-230DN รถเข็นพื้นเหล็ก 3 ชั้น มือจับ 2 ข้าง 370 กก. ล้อยาง
A011900001,HL-113N รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 220 กก.
A011900008,HL-113N รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 220 กก. ล้อยาง
A011900007,HB-213J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 370 กก.
A011900010,HB-213J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 370 กก. ล้อยาง
A011900004,HG-313N รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 500 กก.
A011900009,HG-313N รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 500 กก. ล้อยาง
A011900005,HG-513N รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้าง มีคอกล้อม 650 กก.
A013300001,HL-120MN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง มีคอกล้อม 220 กก.
A013300003,HL-120MN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง มีคอกล้อม 220 กก. ล้อยาง
A013300002,HB-220MN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง มีคอกล้อม 370 กก.
A013300004,HB-220MN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง มีคอกล้อม 370 กก. ล้อยาง
A011100029,HP-110SE รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 150 กก.
A011100025,HN-110J เทา-เหลือง รถเข็นพื้นเหล็ก แบบแผ่นพื้นเหล็กนูนกันลื่นลายรังผึ้ง
A020100011,BP-210J รถเข็นพื้นพลาสติกชั้นเดียว มือจับข้างเดียวพับได้ 250 กก. Jumbo
A020100004,GP-210J รถเข็นพื้นพลาสติกชั้นเดียว มือจับข้างเดียวพับได้ 250 กก. Jumbo
A030200009,ST1-6009T รถเข็นพื้นสเตนเลส พร้อมขอบกันตก มือจับข้างเดียวพับไม่ได้ 350 กก.
A030200010,ST1-7011T รถเข็นพื้นสเตนเลส พร้อมขอบกันตก  มือจับข้างเดียวพับไม่ได้ 500 กก.
A030100001,ST1-6009F รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับได้ 350 กก.
A030100003,ST1-6009F รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับได้ 350 กก. ล้อยาง
A030100002,ST1-7011F รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับได้ 500 กก.
A030200001,ST1-6009 รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับไม่ได้ 350 กก.
A030200008,ST1-6009 รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับไม่ได้ 350 กก. ล้อยาง
A030200002,ST1-7011 รถเข็นพื้นสเตนเลส มือจับข้างเดียวพับไม่ได้ 500 กก.
A015300001,PT3-4006 รถเข็นถาดเหล็กเชื่อมติดทั้งคัน 3 ชั้น
A015300003,PT3-4006 รถเข็นถาดเหล็กเชื่อมติดทั้งคัน 3 ชั้น ล้อยาง
A015300002,PT3-5007 รถเข็นถาดเหล็กเชื่อมติดทั้งคัน 3 ชั้น
A015300004,PT3-5007 รถเข็นถาดเหล็กเชื่อมติดทั้งคัน 3 ชั้น ล้อยาง
A015100001,TT2-4006 สีน้ำเงิน รถเข็นถาดเหล็กถอดประกอบได้ 2 ชั้น PU
A015100002,TT2-5007 สีน้ำเงิน รถเข็นถาดเหล็กถอดประกอบได้ 2 ชั้น PU
A015200001,TT3-4006 สีน้ำเงิน รถเข็นถาดเหล็กถอดประกอบได้ 3 ชั้น
A015200002,TT3-5007 สีน้ำเงิน รถเข็นถาดเหล็กถอดประกอบได้ 3 ชั้น
A031300002,TS2-6004 รถเข็นถาดสเตนเลสถอดประกอบได้ 2 ชั้น ล้อ PU
A031300001,TS2-6004 รถเข็นถาดสเตนเลสถอดประกอบได้ 2 ชั้น ล้อยาง
A032300002,TS3-6004 รถเข็นถาดสเตนเลสถอดประกอบได้ 3 ชั้น ล้อ PU
A032300001,TS3-6004 รถเข็นถาดสเตนเลสถอดประกอบได้ 3 ชั้น ล้อยาง
A031400001,ST2-4006SM รถเข็นสเตนเลส 2 ชั้น แบบมีคอกล้อม มือจับข้างเดียว ล้อ PU
A031400002,ST2-4006SM รถเข็นสเตนเลส 2 ชั้น แบบมีคอกล้อม มือจับข้างเดียว ล้อยาง
A031400003,ST2-5007SM รถเข็นสเตนเลส 2 ชั้น แบบมีคอกล้อม มือจับข้างเดียว ล้อ PU
A031400004,ST2-5007SM รถเข็นสเตนเลส 2 ชั้น แบบมีคอกล้อม มือจับข้างเดียว ล้อยาง
A031100001,ST2-4006S รถเข็นถาดสเตนเลส 2 ชั้น มือจับข้างเดียว ล้อ PU
A031100002,ST2-4006S รถเข็นถาดสเตนเลส 2 ชั้น มือจับข้างเดียว ล้อยาง
A031200001,ST2-4006D รถเข็นถาดสเตนเลส 2 ชั้น มือจับ 2 ข้าง ล้อ PU
A031200002,ST2-4006D รถเข็นถาดสเตนเลส 2 ชั้น มือจับ 2 ข้าง ล้อยาง
A031100003,ST2-5007S รถเข็นถาดสเตนเลส 2 ชั้น มือจับข้างเดียว ล้อ PU
A031100004,ST2-5007S รถเข็นถาดสเตนเลส 2 ชั้น มือจับข้างเดียว ล้อยาง
A031200003,ST2-5007D รถเข็นถาดสเตนเลส 2 ชั้น มือจับ 2 ข้าง ล้อ PU
A031200004,ST2-5007D รถเข็นถาดสเตนเลส 2 ชั้น มือจับ 2 ข้าง ล้อยาง
A032100001,ST3-4006S รถเข็นถาดสเตนเลส 3 ชั้น มือจับข้างเดียว ล้อ PU
A032100002,ST3-4006S รถเข็นถาดสเตนเลส 3 ชั้น มือจับข้างเดียว ล้อยาง
A032200001,ST3-4006D รถเข็นถาดสเตนเลส 3 ชั้น มือจับ 2 ข้าง ล้อ PU
A032200002,ST3-4006D รถเข็นถาดสเตนเลส 3 ชั้น มือจับ 2 ข้าง ล้อยาง
A032100003,ST3-5007S รถเข็นถาดสเตนเลส 3 ชั้น มือจับข้างเดียว ล้อ PU
A032100004,ST3-5007S รถเข็นถาดสเตนเลส 3 ชั้น มือจับข้างเดียว ล้อยาง
A032200003,ST3-5007D รถเข็นถาดสเตนเลส 3 ชั้น มือจับ 2 ข้าง ล้อ PU
A032200004,ST3-5007D รถเข็นถาดสเตนเลส 3 ชั้น มือจับ 2 ข้าง ล้อยาง
A061100001,CNT-04/2S+2562 สีแดง รถเข็นลังพลาสติก 2 ชั้น พร้อมลังพลาสติก
A061100002,CNT-04/2S+2562 สีน้ำเงิน รถเข็นลังพลาสติก 2 ชั้น พร้อมลังพลาสติก
A061100003,CNT-04/2S+2562 สีเขียว รถเข็นลังพลาสติก 2 ชั้น พร้อมลังพลาสติก
A061100004,CNT-04/2S+2562 สีเหลือง รถเข็นลังพลาสติก 2 ชั้น พร้อมลังพลาสติก
A050400022,SRH17S+ถัง 309+A สีขาวขุ่น ดอลลี่กลม มีมือจับ
A050400010,SRH17S+ถัง 309+A สีแดง ดอลลี่กลม มีมือจับ
A050400011,SRH17S+ถัง 309+A สีเขียว ดอลลี่กลม มีมือจับ
A050400012,SRH17S+ถัง 309+A สีฟ้า ดอลลี่กลม มีมือจับ
A050400004,SRH26SN+ถัง 26GN สีแดง ดอลลี่กลม มีมือจับ
A050400005,SRH26SN+ถัง 26GN สีน้ำเงิน ดอลลี่กลม มีมือจับ
A050400006,SRH26SN+ถัง 26GN สีเขียว ดอลลี่กลม มีมือจับ
A050400016,SRH40S+ถัง 320+A สีแดง ดอลลี่กลม มีมือจับ
A050400017,SRH40S+ถัง 320+A สีเขียว ดอลลี่กลม มีมือจับ
A050400018,SRH40S+ถัง 320+A สีฟ้า ดอลลี่กลม มีมือจับ
A050400023,SR17S+ถัง 309+A สีขาวขุ่น ดอลลี่กลม ไม่มีมือจับ
A050400007,SR17S+ถัง 309+A สีแดง ดอลลี่กลม ไม่มีมือจับ
A050400008,SR17S+ถัง 309+A สีเขียว ดอลลี่กลม ไม่มีมือจับ
A050400009,SR17S+ถัง 309+A สีฟ้า ดอลลี่กลม ไม่มีมือจับ
A050400001,SR26SN+ถัง 26GN สีแดง ดอลลี่กลม ไม่มีมือจับ
A050400002,SR26SN+ถัง 26GN สีน้ำเงิน ดอลลี่กลม ไม่มีมือจับ
A050400003,SR26SN+ถัง 26GN สีเขียว ดอลลี่กลม ไม่มีมือจับ
A050400013,SR40S+ถัง 320+A สีแดง ดอลลี่กลม ไม่มีมือจับ
A050400014,SR40S+ถัง 320+A สีเขียว ดอลลี่กลม ไม่มีมือจับ
A050400015,SR40S+ถัง 320+A สีฟ้า ดอลลี่กลม ไม่มีมือจับ
A050400019,SRH20SNB+ถัง 20GLB สีแดง ดอลลี่กลมติดกล่องสเตนเลส มีมือจับ + ถังน้ำสีแดงพร้อมฝา 70 ลิตร
A050400020,SRH20SNB+ถัง 20GLB สีน้ำเงิน ดอลลี่กลมติดกล่องสเตนเลส มีมือจับ + ถังน้ำสีน้ำเงินพร้อมฝา 70 ลิตร
A050400021,SRH20SNB+ถัง 20GLB สีดำ ดอลลี่กลมติดกล่องสเตนเลส มีมือจับ + ถังน้ำสีดำพร้อมฝา 70 ลิตร
A061100009,RTT03S+TT030 สีขาว รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100005,RTT03S+TT030 สีน้ำเงิน รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100010,RTT07S+TT070 สีขาว รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100006,RTT07S+TT070 สีน้ำเงิน รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100011,RTT03SH+TT030 สีขาว รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A061100007,RTT03SH+TT030 สีน้ำเงิน รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A061100016,RTT07SH+TT070 สีขาว รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A061100008,RTT07SH+TT070 สีน้ำเงิน รถเข็นสเตนเลสพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A061100012,PTT03S+TT030 สีน้ำเงิน รถเข็นเหล็กพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100013,PTT07S+TT070 สีน้ำเงิน รถเข็นเหล็กพร้อมถังหล่อขนาดใหญ่ ไม่มีแฮนด์
A061100014,PTT03SH+TT030 สีน้ำเงิน รถเข็นเหล็กพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A061100015,PTT07SH+TT070 สีน้ำเงิน รถเข็นเหล็กพร้อมถังหล่อขนาดใหญ่ มีแฮนด์
A016100001,HL-100N ดอลลี่พื้นเหล็ก 220 กก.
A016100002,HB-200N ดอลลี่พื้นเหล็ก 370 กก.
A016100003,HG-300N ดอลลี่พื้นเหล็ก 500 กก.
A024100005,BP-200N ดอลลี่พื้นพลาสติก 250 กก. สีน้ำเงิน
A024100003,GP-200N ดอลลี่พื้นพลาสติก 250 กก.
A024100002,PD-6040 ดอลลี่พื้นพลาสติก แบบต่อกันได้ 150 กก.
A050100003,PDL0604N ดอลลี่พลาสติก
A050200010,ADL-7747 ดอลลี่สำหรับลังพลาสติก ปรับขนาดได้
A050200025,FDL-5336 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน L530xW368 มม.
A050200006,FDL-5849 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 595x490 มม.
A050200007,FDL-5843 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 560x435 มม.
A050200008,FDL-5837 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 570x380 มม.
A050200002,FDL-6544 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 655x440 มม.
A050200003,FDL-6242 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 625x430 มม.
A050200004,FDL-6142 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 615x430 มม.
A050200005,FDL-6040 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 605x387 มม.
A050200009,FDL-6545 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 605x405 มม.
A050200001,FDL-7058 ดอลลี่สำหรับลังพลาสติก ขนาดภายใน 700x590 มม.
A059800001,มือจับดอลลี่สำหรับลากจูง 256x750 มม.
A040200009,SAT-4032 รถเข็นอะลูมิเนียม แบบไต่บันได 150 กก. ล้อยางตัน
A062100001,SCT-4028 รถเข็นเหล็ก แบบไต่บันได
A062100003,FT120 รถเข็นเหล็กไต่บันได แบบพับได้ 120 กก. Stanley
A062100004,HT200 รถเข็นเหล็กไต่บันได 120 กก. Stanley
A040200006,AT-200C รถเข็นสองล้องานหนัก แบบแผ่นหลังโค้ง
A040200003,AT-200S รถเข็นสองล้องานหนัก แบบทั่วไป
A040200001,AT-250M รถเข็นสองล้องานหนัก แบบใช้งานได้ 2 แบบ
A061200001,GCT-01 รถเข็นถังแก๊ส สำหรับ 1 ถัง
A061200002,GCT-02 รถเข็นถังแก๊ส สำหรับ 2 ถัง
A040100006,AT-71 รถเข็นอะลูมิเนียมสองล้อพับได้ แบบผสมบันได 3 ขั้น
A040100007,AT-72 รถเข็นอะลูมิเนียมสองล้อพับได้ แบบผสมบันได 2 ขั้น
A040100018,AF-150E รถเข็นพื้นอะลูมิเนียม แบบแผ่นพื้นและมือจับขยายได้
A040100013,AT-120M  รถเข็นอะลูมิเนียมสองล้อพับได้แบบพับล้อได้ 120 กก.
A040100014,AT-70S  รถเข็นอะลูมิเนียมสองล้อพับได้แบบพับล้อได้ 70 กก.
A040100017,AT-90BS รถเข็นอะลูมิเนียมสองล้อพับได้ แบบขยายมือจับได้
A020100009,FP-111 รถเข็นพื้นพลาสติกพับได้ 150 กก. พร้อมลังพลาสติกพับได้ 1 ใบ
A020100010,FP-112 รถเข็นพื้นพลาสติกพับได้ 150 กก. พร้อมลังพลาสติกพับได้ 2 ใบ
A029800003,สีเทา ลังพลาสติกพับได้ สำหรับรถเข็นพื้นพลาสติกรุ่น FP-110
A062300003,PP083 รถเข็นสเตนเลสอเนกประสงค์ แบบตะแกรง 2 ชั้น
A060600001,SC-8A รถเข็นช้อปปิ้ง แบบลังตะแกรงซ้อนเก็บได้ 80 ลิตร
A060600011,SC-10A รถเข็นช้อปปิ้ง แบบลังตะแกรงซ้อนเก็บได้ 100 ลิตร
A060600002,SC-15A รถเข็นช้อปปิ้ง แบบลังตะแกรงซ้อนเก็บได้ 150 ลิตร
A060600003,SC-18A รถเข็นช้อปปิ้ง แบบลังตะแกรงซ้อนเก็บได้ 180 ลิตร
A060600026,รถเข็น สำหรับใส่ตะกร้าช้อปปิ้ง
A060600008,DA-3532M ขาตั้งตะกร้าช้อปปิ้ง ติดล้อ
A060600009,DA-3532 ขาตั้งตะกร้าช้อปปิ้ง ไม่ติดล้อ
A061600009,HBT-6040 รถเข็นเบิกจ่ายในสโตร์
A061600010,HBT-7550  รถเข็นเบิกจ่ายในสโตร์
A061600001,OPT-4590 รถเข็นเบิกจ่ายในสโตร์ แบบใช้งานอเนกประสงค์
A061600008,OP3-7948 รถเข็นเบิกจ่ายในสโตร์ แบบติดบันได 3 ชั้น
A061600003,LC3-1038S รถเข็นเบิกจ่ายในสโตร์ แบบใช้เบิกจ่ายอะไหล่ 3 ชั้น
A061600004,LC4-1039 รถเข็นเบิกจ่ายในสโตร์ แบบใช้เบิกจ่ายอะไหล่ 4 ชั้น
A061600002,OPT-0433 รถเข็นเบิกจ่ายในสโตร์ แบบติดตั้งแผงบันทึก
A060800034,RZ7383-T รถเข็นทรงสูง พื้นโปร่ง 250 กก.
A060800021,RP8011-T สีน้ำเงิน รถเข็นทรงสูง พื้นทึบ 500 กก.
A060800022,RP6080-T สีน้ำเงิน รถเข็นทรงสูง พื้นทึบ 250 กก.
A069800038,แผ่นชั้นตะแกรง สำหรับรถเข็นทรงสูงรุ่น RZ7383-T
A069800034,แผ่นชั้นทึบ สำหรับรถเข็นทรงสูง RP8011-T
A069800035,แผ่นชั้นทึบ สำหรับรถเข็นทรงสูง RP6080-T
A060800027,MBC300-2 รถเข็นทรงสูง แบบพื้นไม้ปิดด้วยตะแกรง 4 ด้าน
A060800028,MBC300B-2 รถเข็นทรงสูง แบบพื้นไม้ปิดด้วยตะแกรง 4 ด้าน ติดเบรก
A060800032,SBC300B รถเข็นตะแกรงสเตนเลส แผ่นชั้นทึบ 3 ชั้น  แบบมีประตูเปิด-ปิด ขนาด W530xL1000xH1750 มม. ล้อ TPR ติดเบรก
A060800031,SBC300 รถเข็นตะแกรงสเตนเลส แผ่นชั้นทึบ 3 ชั้น  แบบมีประตูเปิด-ปิด ขนาด W530xL1000xH1750 มม. ล้อ TPR
A061500001,HTH-1208W รถเข็นงานหนัก พื้นไม้ - แผงปิด 3 ด้าน
A061500002,HTH-1208S รถเข็นงานหนัก พื้นเหล็กลาย - แผงปิด 3 ด้าน
A061500003,HTF-1208W รถเข็นงานหนัก พื้นไม้ - แผงปิด 4 ด้าน
A061500004,HTF-1208S รถเข็นงานหนัก พื้นเหล็กลาย - แผงปิด 4 ด้าน
A060800012,BTP-0711H รถเข็นกรงเหล็กแผงข้างทึบ 350 กก.
A060800013,BTP-0711X รถเข็นกรงเหล็กแผงข้างทึบ 500 กก.
A060800006,BTM0711H รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นโปร่ง 350 กก. ไม่มีฝาบน
A060800007,BTM0711X รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นโปร่ง 500 กก. ไม่มีฝาบน
A060800008,BTL0711H รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นโปร่ง 350 กก. มีฝาบน
A060800023,BTL0711X รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นโปร่ง 500 กก. มีฝาบน
A060800010,BTM-0711HC รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นบุพลาสติกลูกฟูก 350 กก.
A060800011,BTM-0711XC รถเข็นกรงเหล็กแผงข้างตะแกรง รุ่นบุพลาสติกลูกฟูก 500 กก.
A060700001,HTL-1208WR รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นไม้ แผงข้างท่อ
A060700002,HTL-1208SR รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นเหล็กลาย แผงข้างท่อ
A060700003,HTL-1208WS รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นไม้ แผงข้างตะแกรง
A060700004,HTL-1208SS รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นเหล็กลาย แผงข้างตะแกรง
A060700005,HTC-1208W รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นไม้ ท่อสี่มุม
A060700006,HTC-1208S รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแท่งหรือม้วน พื้นเหล็กลาย ท่อสี่มุม
A060700007,HTP-1208WS รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นไม้ ราวกั้นสูง 600-800-1000 มม.
A060700008,HTP-1208SS รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นเหล็กลาย ราวกั้นสูง 600-800-1000 มม.
A060700009,HTP-1208WH รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นไม้ ราวกั้นสูง 1000 มม.
A060700010,HTP-1208SH รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นเหล็กลาย ราวกั้นสูง 1000 มม.
A060700011,HTP-1208WM รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นไม้ ราวกั้นสูง 800 มม.
A060700012,HTP-1208SM รถเข็นวัสดุทรงยาวและเป็นแผ่น แบบใช้ขนวัสดุแผ่น ราวกั้นปรับได้ พื้นเหล็กลาย ราวกั้นสูง 800 มม.
A069800002,R60 ราวกั้น สูง 600 มม.
A069800003,R80 ราวกั้น สูง 800 มม.
A069800004,R100 ราวกั้น สูง 1000 มม.
A061800015,MT-1208N รถลากจูงด้วยมือรุ่น 1200x800 มม. - ไม่มีแผงกั้น
A061800016,MT-1208BN รถลากจูงด้วยมือรุ่น 1200x800 มม. - แผงกั้นหน้าหลัง
A061800017,MT-1208SN รถลากจูงด้วยมือรุ่น 1200x800 มม. - แผงกั้นสองด้าน
